name:keypoints_y:keypoints_x
fashionMENTees_Tanksid0000404701_1front.jpg: [37, 84, 84, 147, 209, 86, 149, 206, 204, -1, -1, 206, -1, -1, 29, 28, 35, 32]: [85, 86, 43, 36, 33, 129, 134, 134, 57, -1, -1, 103, -1, -1, 77, 93, 67, 105]
fashionMENTees_Tanksid0000404701_7additional.jpg: [28, 56, 56, 95, 129, 57, 92, 126, 128, 181, 229, 128, 178, 227, 24, 24, 27, 25]: [90, 90, 67, 60, 61, 114, 118, 118, 74, 73, 71, 101, 101, 98, 86, 95, 79, 101]
fashionMENJackets_Vestsid0000008405_2side.jpg: [32, 53, 54, 84, 108, 53, 83, 82, 109, 161, 216, 109, 160, 214, 28, 29, 29, 31]: [93, 89, 76, 74, 75, 102, 109, 112, 85, 85, 84, 103, 99, 82, 89, 97, 80, 101]
fashionMENJackets_Vestsid0000243904_2side.jpg: [34, 54, 55, 83, 73, 54, 79, 77, 123, 168, 210, 123, 168, 219, 30, 30, 33, 34]: [96, 98, 83, 55, 77, 114, 91, 72, 78, 87, 92, 100, 103, 111, 92, 100, 88, 109]
fashionMENJackets_Vestsid0000534601_4full.jpg: [36, 53, 54, 77, 54, 52, 69, 51, 115, 164, 212, 117, 168, 225, 32, 32, 33, 33]: [92, 93, 75, 43, 65, 112, 124, 87, 73, 71, 68, 101, 108, 118, 88, 96, 83, 102]
fashionWOMENDressesid0000006401_4full.jpg: [40, 63, 62, 94, 76, 64, 97, 124, 119, 167, 196, 119, 164, 206, 36, 35, -1, 37]: [85, 93, 74, 61, 61, 112, 122, 130, 75, 82, 101, 98, 97, 97, 81, 90, -1, 101]
fashionMENJackets_Vestsid0000732403_4full.jpg: [44, 62, 63, 94, 121, 61, 89, 111, 123, 168, 208, 123, 171, 216, 41, 40, 42, 40]: [83, 89, 67, 61, 62, 110, 128, 117, 74, 76, 75, 100, 105, 113, 80, 87, 76, 96]
fashionWOMENDressesid0000008802_4full.jpg: [39, 60, 60, 93, 122, 60, 84, 73, 118, 166, 228, 118, 164, -1, 35, 35, 36, -1]: [97, 87, 73, 61, 53, 102, 111, 117, 83, 93, 106, 102, 87, -1, 92, 100, 81, -1]
fashionWOMENDressesid0000000202_4full.jpg: [40, 60, 60, 85, 85, 59, 86, 86, 114, 166, 207, 115, 170, 216, 37, 36, 40, 37]: [89, 93, 81, 64, 87, 105, 98, 71, 76, 63, 83, 96, 94, 93, 85, 93, 83, 100]
fashionWOMENDressesid0000000202_1front.jpg: [32, 52, 52, 81, 109, 51, 74, -1, 109, 172, 215, 111, 161, 214, 28, 29, 31, 32]: [88, 87, 71, 62, 57, 103, 116, -1, 78, 67, 57, 101, 101, 101, 84, 92, 77, 98]
fashionWOMENDressesid0000024401_4full.jpg: [45, 70, 68, 97, 78, 72, 102, 124, 130, 177, 221, 128, 174, 197, 40, 41, 44, 46]: [91, 84, 65, 50, 58, 104, 107, 124, 67, 76, 90, 93, 84, 109, 86, 95, 75, 99]
fashionMENJackets_Vestsid0000691501_2side.jpg: [35, 50, 51, 84, 91, 51, 80, 117, 117, 165, 212, 117, 164, 219, 32, 30, -1, 31]: [75, 99, 117, 143, 124, 86, 99, 75, 117, 112, 120, 95, 73, 70, 72, 77, -1, 90]
fashionWOMENDressesid0000004202_1front.jpg: [35, 54, 53, 84, 62, 54, 85, 115, 116, 169, 226, 117, 170, 224, 30, 31, 30, 34]: [107, 102, 84, 71, 89, 120, 125, 140, 94, 80, 65, 121, 133, 125, 103, 111, 95, 115]
fashionMENJackets_Vestsid0000243901_1front.jpg: [37, 58, 59, 91, 115, 58, 90, 117, 125, 175, 221, 124, 174, 213, 33, 33, 34, 34]: [85, 87, 63, 56, 58, 111, 122, 120, 75, 77, 82, 101, 99, 97, 80, 88, 74, 94]
fashionWOMENDressesid0000024401_1front.jpg: [39, 57, 55, 80, 62, 59, 84, 71, 109, 161, 218, 110, 156, -1, 34, 36, 34, 40]: [95, 90, 76, 68, 68, 105, 111, 111, 86, 88, 65, 106, 106, -1, 91, 100, 83, 104]
